movie_title,release_date,genre,metascore
Madea's Family Reunion,24-Feb-06,"Drama,Comedy,Romance",45
Sita Sings the Blues,25-Dec-09,"Fantasy,Comedy,Romance,Animation,Musical",93
The Love Witch,11-Nov-16,"Drama,Thriller,Horror,Comedy",82
Practical Magic,16-Oct-98,"Fantasy,Comedy,Romance",46
Beautiful Girls,09-Feb-96,"Drama,Comedy,Romance",64
Dora and the Lost City of Gold,09-Aug-19,"Action,Adventure,Family",63
Ordinary People,18-Sep-80,Drama,87
U.S. Marshals,06-Mar-98,"Action,Thriller",47
Timeline,26-Nov-03,"Action,Adventure,Sci-Fi,Fantasy",28
The Dead Girl,29-Dec-06,"Drama,Mystery,Thriller",65
Rugrats Go Wild,13-Jun-03,"Adventure,Comedy,Animation,Family",38
Friday After Next,22-Nov-02,Comedy,35
Bad Samaritan,04-May-18,"Thriller,Horror",42
Men of Honor,10-Nov-00,"Biography,Drama",56
Zombie Strippers!,18-Apr-08,"Horror,Comedy",45
The Art of the Steal,14-Mar-14,"Comedy,Crime",53
The Christmas Chronicles,22-Nov-18,"Adventure,Fantasy,Comedy,Animation,Family",52
The Blues Brothers,20-Jun-80,"Action,Comedy,Crime,Music,Musical",60
Nutty Professor II: The Klumps,28-Jul-00,"Sci-Fi,Comedy",38
Tamara,03-Feb-06,"Thriller,Fantasy,Horror",34
Universal Soldier: The Return,20-Aug-99,"Action,Sci-Fi",24
Leviathan,01-Mar-13,Documentary,81
"Paul, Apostle of Christ",23-Mar-18,"Drama,History",52
Video Games: The Movie,18-Jul-14,"Action,Sci-Fi,History,Animation,Documentary",40
An American Werewolf in Paris,31-Oct-97,"Thriller,Horror,Comedy,Romance",31
Battle in Seattle,19-Sep-08,"Action,Drama",54
The Perfect Score,30-Jan-04,"Comedy,Crime",35
Kidnapping Mr. Heineken,06-Mar-15,"Action,Drama,Thriller,Crime",33
Julia,08-May-09,"Drama,Thriller,Crime",62
Palindromes,13-Apr-05,"Adventure,Drama,Comedy",53
The Lady,13-Apr-12,"Biography,Drama",43
Storytelling,25-Jan-02,"Drama,Comedy",50
Results,29-May-15,Comedy,73
Miss Meadows,14-Nov-14,"Drama,Thriller",43
Any Day Now,14-Dec-12,Drama,60
The Lucky Ones,26-Sep-08,"Drama,Comedy,War",53
First Kill,21-Jul-17,"Action,Thriller",39
Of Time and the City,21-Jan-09,"Biography,History,Documentary",81
Frantic,26-Feb-88,"Drama,Mystery,Thriller,Crime",66
Robin Hood: Men in Tights,28-Jul-93,"Adventure,Comedy,Romance,Musical",44
Starbuck,22-Mar-13,Comedy,49
Sex and Death 101,04-Apr-08,"Drama,Comedy,Romance",24
The Little Death,26-Jun-15,"Drama,Comedy,Romance",46
It Takes Two,17-Nov-95,"Comedy,Romance,Family",45
Dark Was the Night,24-Jul-15,"Drama,Thriller,Horror",40
Zoe,20-Jul-18,"Sci-Fi,Romance",39
City of Ghosts,07-Jul-17,"War,Documentary",86
The Wild Bunch,18-Jun-69,"Action,Adventure,Western",95
Small Voices,10-Oct-03,Drama,58
Papillon,16-Dec-73,"Biography,Drama,Crime",58
The Trip,09-May-03,"Drama,Comedy,Romance",47
A Chorus Line,09-Dec-85,"Drama,Comedy,Musical",46
Brief Interviews with Hideous Men,25-Sep-09,"Drama,Comedy",44
The Truth About Emanuel,10-Jan-14,"Drama,Thriller",41
Brigham City,13-Apr-01,"Drama,Mystery,Crime",62
Parked,30-Nov-12,Drama,47
Putty Hill,18-Feb-11,Drama,78
Terror's Advocate,12-Oct-07,"Biography,History,Documentary",75
Back to School,13-Jun-86,"Sport,Comedy,Romance",68
Wendigo,15-Feb-02,"Mystery,Thriller,Horror",63
Seducing Doctor Lewis,18-Jun-04,Comedy,59
The Karate Kid Part II,20-Jun-86,"Action,Sport,Romance,Family",55
The Exorcist III,17-Aug-90,"Drama,Mystery,Horror",48
Village of the Damned,28-Apr-95,"Sci-Fi,Thriller,Horror",41
Last Orders,07-Dec-01,Drama,78
Share,27-Jul-19,Thriller,73
Saboteur,24-Apr-42,"Thriller,War",64
I Am Ali,10-Oct-14,"Biography,Sport,Documentary",55
Below Her Mouth,28-Apr-17,"Drama,Romance",42
Free Ride,10-Jan-14,"Action,Drama,Thriller",41
Dark Streets,12-Dec-08,"Drama,Thriller",38
Alléluia,17-Jul-15,"Drama,Thriller",72
Zus & zo,07-Feb-03,"Fantasy,Comedy,Romance",50
Not Easily Broken,09-Jan-09,"Drama,Romance",43
12 O'Clock Boys,31-Jan-14,"Biography,Documentary",68
Steep,21-Dec-07,"Sport,Documentary",58
Explorers,12-Jul-85,"Adventure,Sci-Fi,Family",58
Decoding Annie Parker,02-May-14,Drama,56
How Stella Got Her Groove Back,14-Aug-98,"Drama,Romance",56
An Evening with Beverly Luff Linn,19-Oct-18,"Comedy,Crime",54
A Man Named Pearl,11-Jul-08,Documentary,63
The Monster Squad,14-Aug-87,"Action,Fantasy,Horror,Comedy",61
Holly,09-Nov-07,Drama,51
The Giant Mechanical Man,27-Apr-12,"Drama,Comedy,Romance",43
Suicide Squad,05-Aug-16,"Action,Adventure,Sci-Fi,Thriller,Fantasy,Comedy,Crime",40
Kingsman: The Secret Service,13-Feb-15,"Action,Adventure,Thriller,Comedy,Crime",60
The Truman Show,05-Jun-98,Drama,90
Jurassic Park,11-Jun-93,"Adventure,Sci-Fi,Thriller",68
Taxi Driver,07-Feb-76,"Drama,Thriller,Crime",94
Battle: Los Angeles,11-Mar-11,"Action,Sci-Fi",37
The Secret Life of Walter Mitty,25-Dec-13,"Adventure,Drama,Fantasy,Comedy",54
Insidious,01-Apr-11,"Fantasy,Horror,Comedy",52
Kingsman: The Golden Circle,22-Sep-17,"Action,Adventure,Comedy",44
Fantastic Four: Rise of the Silver Surfer,15-Jun-07,"Action,Adventure,Sci-Fi,Thriller,Fantasy",45
Mission: Impossible,22-May-96,"Action,Adventure,Thriller",59
Superman II,19-Jun-81,"Action,Adventure,Sci-Fi,Romance",87
Southpaw,24-Jul-15,"Action,Drama,Sport,Thriller",57
Panic Room,29-Mar-02,Thriller,65
G.I. Joe: The Rise of Cobra,07-Aug-09,"Action,Adventure,Sci-Fi,Thriller",32
Lawless,29-Aug-12,"Drama,Crime,Western",58
The Blind Side,20-Nov-09,"Biography,Drama,Sport",53
RoboCop,17-Jul-87,"Action,Sci-Fi,Drama,Thriller,Crime",67
Seven Pounds,19-Dec-08,Drama,36
Stardust,10-Aug-07,"Adventure,Fantasy,Romance,Family",66
Click,23-Jun-06,"Drama,Fantasy,Comedy",45
Love and Other Drugs,24-Nov-10,"Comedy,Romance",55
Run All Night,13-Mar-15,"Action,Drama,Mystery,Thriller,Crime",59
Resident Evil: Extinction,21-Sep-07,"Action,Sci-Fi,Thriller,Fantasy,Horror",41
Indiana Jones and the Temple of Doom,23-May-84,"Action,Adventure",57
Dragonball: Evolution,10-Apr-09,"Action,Adventure,Sci-Fi,Thriller,Fantasy",45
Max Payne,17-Oct-08,"Action,Drama,Mystery,Thriller,Crime",31
Knock Knock,09-Oct-15,"Mystery,Thriller,Horror",53
13 Hours: The Secret Soldiers of Benghazi,15-Jan-16,"Action,Drama,Thriller,War",48
Gamer,04-Sep-09,"Action,Sci-Fi,Thriller",27
All Is Lost,18-Oct-13,"Action,Adventure,Drama",87
The Forgotten,24-Sep-04,"Sci-Fi,Mystery,Thriller,Horror",43
Blended,23-May-14,Comedy,31
In the Heart of the Sea,11-Dec-15,"Action,Adventure,Biography,Drama,History,Thriller",47
The Age of Adaline,24-Apr-15,"Drama,Romance",51
Jigsaw,27-Oct-17,"Mystery,Thriller,Horror,Crime",39
The Next Three Days,19-Nov-10,"Drama,Thriller,Romance,Crime",52
Miller's Crossing,05-Oct-90,"Drama,Thriller,Crime",66
Greenberg,19-Mar-10,"Drama,Comedy",76
Bottle Rocket,21-Feb-96,"Comedy,Crime",66
The Last Song,31-Mar-10,"Drama,Romance",33
Changing Lanes,12-Apr-02,"Drama,Thriller",69
Frequency,28-Apr-00,"Sci-Fi,Drama,Thriller",67
House of Sand and Fog,19-Dec-03,Drama,71
Surf's Up,08-Jun-07,"Sport,Comedy,Animation,Family",64
Butch Cassidy and the Sundance Kid,24-Oct-69,"Adventure,Drama,Crime,Western",66
The Exorcism of Emily Rose,09-Sep-05,"Drama,Thriller,Horror,Crime",46
The Vow,10-Feb-12,"Drama,Romance",43
Superhero Movie,28-Mar-08,"Action,Sci-Fi,Thriller,Comedy",33
The Fall,09-May-08,"Adventure,Drama,Fantasy",64
My Bloody Valentine,16-Jan-09,"Mystery,Thriller,Horror,Crime",51
The Prince of Egypt,18-Dec-98,"Adventure,Drama,Animation,Family,Musical",64
Last Vegas,01-Nov-13,Comedy,48
K-PAX,26-Oct-01,"Sci-Fi,Drama,Mystery",49
The Diary of a Teenage Girl,07-Aug-15,"Drama,Romance",87
Beverly Hills Cop,05-Dec-84,"Action,Drama,Thriller,Comedy,Crime",64
Ghost Ship,25-Oct-02,"Adventure,Mystery,Thriller,Horror",28
21 and Over,01-Mar-13,Comedy,34
All Good Things,03-Dec-10,"Drama,Mystery,Thriller",57
The Road to El Dorado,31-Mar-00,"Adventure,Comedy,Romance,Animation,Family",51
What Happens in Vegas,09-May-08,"Comedy,Romance",36
The Hunt for Red October,02-Mar-90,"Action,Adventure,Thriller",58
The Unborn,09-Jan-09,"Mystery,Thriller,Horror",30
Bewitched,24-Jun-05,"Fantasy,Comedy,Romance",34
This Is Where I Leave You,19-Sep-14,"Drama,Comedy",44
Hard Ball,14-Sep-01,"Drama,Sport",48
The Devil's Double,29-Jul-11,"Action,Biography,Drama",52
Friday,26-Apr-95,"Drama,Comedy",54
Here Comes the Boom,12-Oct-12,"Action,Comedy",40
Arlington Road,09-Jul-99,"Mystery,Thriller",65
Coach Carter,14-Jan-05,"Drama,Sport",57
Jafar Panahi's Taxi,02-Oct-15,"Drama,Comedy",91
Hatchet,07-Sep-07,"Horror,Comedy",57
Regression,05-Feb-16,"Drama,Mystery,Thriller,Horror,Crime",32
Flyboys,22-Sep-06,"Action,Adventure,Drama,History,Romance,War",47
Red Lights,13-Jul-12,"Drama,Mystery,Thriller,Horror",36
While You Were Sleeping,21-Apr-95,"Comedy,Romance",67
Tuck Everlasting,11-Oct-02,"Drama,Fantasy,Romance,Family",66
After,12-Apr-19,"Drama,Romance",30
How to Lose a Guy in 10 Days,07-Feb-03,"Comedy,Romance",45
Chi-Raq,04-Dec-15,"Drama,Comedy,Crime,Musical",77
Dear Frankie,04-Mar-05,"Drama,Romance",63
Wish Upon,14-Jul-17,"Thriller,Fantasy,Horror",32
Everything Is Illuminated,16-Sep-05,"Drama,Comedy",58
The Hudsucker Proxy,11-Mar-94,"Drama,Fantasy,Comedy,Romance",53
Maniac,21-Jun-13,"Thriller,Horror,Crime",47
The Invisible,27-Apr-07,"Drama,Mystery,Thriller,Fantasy,Romance,Crime",36
Equals,15-Jul-16,"Sci-Fi,Drama,Romance",43
Aftershock,10-May-13,"Adventure,Thriller,Horror,Crime",39
Glory Road,13-Jan-06,"Drama,Sport",58
The Canyons,02-Aug-13,"Drama,Thriller",36
Seeking Justice,16-Mar-12,"Action,Drama,Thriller",38
Taxi,06-Oct-04,"Action,Thriller,Comedy,Crime",27
Tiny Furniture,12-Nov-10,Comedy,72
Over Her Dead Body,01-Feb-08,"Fantasy,Comedy,Romance",30
Why Did I Get Married Too?,02-Apr-10,Comedy,43
Next Friday,12-Jan-00,Comedy,41
Keeping Mum,15-Sep-06,"Comedy,Crime",53
Flashdance,15-Apr-83,"Drama,Romance,Music",39
Fun Size,26-Oct-12,Comedy,37
Extraordinary Measures,22-Jan-10,Drama,45
The Secret Life of Bees,17-Oct-08,Drama,57
Nine 1/2 Weeks,21-Feb-86,"Drama,Romance",50
Lebanon,06-Aug-10,"Drama,War",85
Remember,11-Mar-16,"Drama,Thriller",52
Amelia,23-Oct-09,"Adventure,Biography,Drama,Romance",37
13,28-Oct-11,"Drama,Thriller",29
The Truth About Cats & Dogs,26-Apr-96,"Comedy,Romance",64
Nurse 3D,07-Feb-14,"Thriller,Horror",29
Rock Dog,24-Feb-17,"Adventure,Comedy,Music,Animation,Family",48
Hard Rain,16-Jan-98,"Action,Drama,Thriller,Crime",36
We the Animals,17-Aug-18,Drama,83
The Adventures of Rocky & Bullwinkle,30-Jun-00,"Adventure,Fantasy,Comedy,Animation,Family",36
High Flying Bird,08-Feb-19,"Drama,Sport",78
Private Parts,07-Mar-97,"Biography,Drama,Comedy",67
Girl Most Likely,19-Jul-13,Comedy,38
Dick,04-Aug-99,Comedy,65
Creation,22-Jan-10,"Biography,Drama",51
Catch That Kid,06-Feb-04,"Action,Adventure,Comedy,Crime,Family",33
Walking Out,06-Oct-17,"Adventure,Drama,Mystery,Thriller",79
The Man with the Golden Gun,20-Dec-74,"Action,Adventure,Thriller",43
Dad's Army,05-Feb-16,Comedy,38
Pay the Ghost,25-Sep-15,"Thriller,Horror",23
Sliding Doors,24-Apr-98,"Drama,Comedy,Romance",59
Yes,24-Jun-05,"Drama,Romance",55
Tea with Mussolini,14-May-99,"Drama,Comedy,War",53
Holy Smoke,03-Dec-99,"Drama,Comedy",57
The Tempest,10-Dec-10,"Drama,Fantasy,Comedy,Romance",43
Shrink,24-Jul-09,Drama,40
Blood and Chocolate,26-Jan-07,"Drama,Fantasy,Horror,Romance",33
Man Down,02-Dec-16,"Drama,Thriller",27
Moonwalkers,15-Jan-16,Comedy,39
The Battle of Shaker Heights,22-Aug-03,"Drama,Comedy,Romance",33
What We Did on Our Holiday,10-Jul-15,"Drama,Comedy",54
Search Party,13-May-16,"Adventure,Comedy",22
Driving Lessons,13-Oct-06,"Drama,Comedy",56
The Celestine Prophecy,21-Apr-06,Adventure,23
The Money Pit,26-Mar-86,Comedy,49
Poms,10-May-19,"Drama,Comedy",36
Luther,26-Sep-03,"Biography,Drama,History",47
Cut Bank,03-Apr-15,Thriller,44
Creepshow 2,01-May-87,"Fantasy,Horror,Comedy",39
The Mostly Unfabulous Social Life of Ethan Green,16-Jun-06,"Comedy,Romance",38
Cavemen,07-Feb-14,Comedy,19
"Tuesday, After Christmas",27-May-11,"Drama,Romance",81
Va Savoir (Who Knows?),29-Sep-01,"Drama,Comedy,Romance,Crime",79
Uncertainty,13-Nov-09,Drama,45
Seven Days in Utopia,02-Sep-11,"Drama,Sport",37
Are You Here,22-Aug-14,Comedy,37
Atlas Shrugged III: Who Is John Galt?,12-Sep-14,"Sci-Fi,Drama,Mystery",9
Adam & Steve,31-Mar-06,"Comedy,Romance",48
Perfect Sisters,11-Apr-14,"Drama,Mystery,Thriller,Horror,Crime",44
Riding the Bullet,15-Oct-04,"Thriller,Horror",37
Pet Sematary II,28-Aug-92,"Fantasy,Horror",35
The Story of Us,15-Oct-99,"Drama,Comedy,Romance",37
Love After Love,30-Mar-18,Drama,84
Princesas,23-Aug-06,Drama,64
Lila Says,24-Jun-05,"Drama,Romance,Crime",57
John Rabe,21-May-10,"Biography,Drama,History,War",57
Jonathan,16-Nov-18,"Sci-Fi,Drama",62
Music Within,26-Oct-07,"Biography,Drama,Comedy,Romance,War,Music",53
Song One,23-Jan-15,"Drama,Music",48
Farmland,01-May-14,Documentary,32
"Sex, Politics & Cocktails",20-May-05,"Comedy,Romance",24
White Reindeer,06-Dec-13,"Drama,Comedy",69
The Seven Five,07-May-15,Documentary,69
Watermarks,21-Jan-05,"History,Sport,Documentary",67
Magician: The Astonishing Life and Work of Orson Welles,10-Dec-14,Documentary,67
Rock School,03-Jun-05,"Music,Documentary",67
Villains,20-Sep-19,"Drama,Thriller,Horror,Comedy,Crime",63
Aniara,17-May-19,"Sci-Fi,Drama",61
Lisa Picard Is Famous,22-Aug-01,"Drama,Comedy",57
Invincible,20-Sep-02,"Drama,War",55
Cheatin',15-Aug-14,Animation,74
Framing John DeLorean,07-Jun-19,"Biography,Drama,Documentary",67
Red Knot,05-Dec-14,Drama,61
The Green Butchers,03-Dec-04,"Drama,Comedy",54
Bomb the System,27-May-05,"Action,Drama",52
Man in the Chair,07-Dec-07,"Drama,Comedy",44
Man of Steel,14-Jun-13,"Action,Adventure,Sci-Fi,Fantasy",55
Justice League,17-Nov-17,"Action,Adventure,Sci-Fi,Fantasy",45
300,09-Mar-07,"Action,Fantasy,War",52
Now You See Me,31-May-13,"Mystery,Thriller,Crime",50
Teenage Mutant Ninja Turtles,08-Aug-14,"Action,Adventure,Sci-Fi,Fantasy,Comedy,Animation",31
The Perks of Being a Wallflower,21-Sep-12,"Drama,Romance",67
The Man from U.N.C.L.E.,14-Aug-15,"Action,Adventure,Comedy",56
Raging Bull,14-Nov-80,"Biography,Drama,Sport",89
The Expendables 2,17-Aug-12,"Action,Adventure,Thriller",51
In Bruges,08-Feb-08,"Drama,Thriller,Crime",67
The Fast and the Furious,22-Jun-01,"Action,Thriller,Crime",58
Jackie Brown,25-Dec-97,"Drama,Thriller,Crime",64
Ad Astra,20-Sep-19,"Adventure,Sci-Fi,Drama,Mystery,Thriller",80
Rocky Balboa,20-Dec-06,"Drama,Sport",63
Sinister,12-Oct-12,"Mystery,Thriller,Horror,Crime",53
Indiana Jones and the Last Crusade,24-May-89,"Action,Adventure",65
Dumb and Dumber,16-Dec-94,Comedy,41
Training Day,05-Oct-01,"Drama,Thriller,Crime",69
Grown Ups,25-Jun-10,Comedy,30
Gods of Egypt,26-Feb-16,"Action,Adventure,Fantasy",25
Stranger Than Fiction,10-Nov-06,"Drama,Fantasy,Comedy,Romance",67
The Angry Birds Movie,20-May-16,"Action,Comedy,Animation,Family",43
Ice Age,15-Mar-02,"Adventure,Comedy,Animation,Family",60
Pain & Gain,26-Apr-13,"Action,Drama,Thriller,Comedy,Crime",45
Night at the Museum,22-Dec-06,"Action,Adventure,Fantasy,Comedy,Family",48
The 5th Wave,22-Jan-16,"Action,Adventure,Sci-Fi,Thriller",33
Taken 3,09-Jan-15,"Action,Thriller,Crime",26
The Italian Job,30-May-03,"Action,Thriller,Crime",68
Cinderella Man,03-Jun-05,"Biography,Drama,Sport",69
Garden State,28-Jul-04,"Drama,Comedy,Romance",67
Armageddon,01-Jul-98,"Action,Adventure,Sci-Fi,Thriller,Romance",42
The Lovely Bones,11-Dec-09,"Drama,Thriller,Fantasy",42
Rain Man,16-Dec-88,Drama,65
The Day After Tomorrow,28-May-04,"Action,Adventure,Sci-Fi,Thriller",47
American Reunion,06-Apr-12,"Comedy,Romance",49
As Good as It Gets,23-Dec-97,"Drama,Comedy,Romance",67
Begin Again,27-Jun-14,"Drama,Comedy,Romance,Music",62
Leviathan,25-Dec-14,Drama,92
Final Destination 3,10-Feb-06,"Mystery,Thriller,Horror",41
Æon Flux,02-Dec-05,"Action,Adventure,Sci-Fi,Thriller",36
25th Hour,19-Dec-02,"Drama,Crime",67
Horrible Bosses 2,26-Nov-14,"Comedy,Crime",40
Scary Movie 3,24-Oct-03,Comedy,49
Brightburn,24-May-19,"Sci-Fi,Drama,Mystery,Thriller,Horror",44
Rent,23-Nov-05,"Drama,Romance,Musical",53
Geostorm,20-Oct-17,"Action,Sci-Fi,Thriller",21
Abduction,23-Sep-11,"Action,Thriller",25
Thirteen,20-Aug-03,"Drama,Romance",70
How the Grinch Stole Christmas,17-Nov-00,"Fantasy,Comedy,Family",46
Religulous,03-Oct-08,"Comedy,Documentary",56
The Family,13-Sep-13,"Action,Drama,Thriller,Comedy,Crime",42
45 Years,23-Dec-15,"Drama,Romance",94
Ronin,25-Sep-98,"Action,Thriller,Crime",67
Cop Out,26-Feb-10,"Action,Comedy,Crime",31
The Change-Up,05-Aug-11,Comedy,39
To the Wonder,12-Apr-13,"Drama,Romance",58
Stir of Echoes,10-Dec-99,"Mystery,Thriller,Horror",67
The Big Hit,24-Apr-98,"Action,Thriller,Comedy,Crime",31
Babylon A.D.,29-Aug-08,"Action,Adventure,Sci-Fi,Thriller",26
Loving Vincent,22-Sep-17,"Biography,Drama,Crime,Animation",62
MacGruber,21-May-10,"Action,Comedy",43
She's Out of My League,12-Mar-10,"Comedy,Romance",46
Deliver Us From Evil,02-Jul-14,"Action,Thriller,Horror,Crime",40
What Women Want,15-Dec-00,"Fantasy,Comedy,Romance",47
A Haunted House 2,18-Apr-14,"Horror,Comedy",17
Gossip,21-Apr-00,"Drama,Mystery,Thriller",31
The Losers,23-Apr-10,"Action,Adventure,Mystery,Thriller,Crime",44
Hook,11-Dec-91,"Adventure,Fantasy,Comedy,Family",52
Scooby Doo 2: Monsters Unleashed,26-Mar-04,"Action,Adventure,Mystery,Fantasy,Comedy,Family",34
Woman in Gold,01-Apr-15,Drama,51
I Origins,18-Jul-14,"Sci-Fi,Drama",57
Metallica: Through the Never,27-Sep-13,"Action,Music,Musical",61
Anastasia,21-Nov-97,"Adventure,Drama,Animation,Family,Musical",59
Black Dynamite,04-Sep-09,"Action,Comedy,Crime",65
Aqua Teen Hunger Force Colon Movie Film for Theaters,13-Apr-07,"Action,Adventure,Sci-Fi,Fantasy,Comedy,Animation",54
Goodbye Lenin!,27-Feb-04,"Drama,Comedy,Romance",68
Mississippi Burning,27-Jan-89,"Drama,Mystery,Thriller,Crime",65
Black Snake Moan,02-Mar-07,"Drama,Music",52
RV,28-Apr-06,"Adventure,Comedy,Family",33
Winter's Tale,14-Feb-14,"Drama,Mystery,Fantasy,Romance",31
Shark Night 3D,02-Sep-11,"Thriller,Horror",22
Buffalo '66,26-Jun-98,"Drama,Comedy,Romance,Crime",68
Gone,24-Feb-12,Thriller,36
Harsh Times,10-Nov-06,"Drama,Thriller,Crime",56
Hackers,15-Sep-95,"Action,Drama,Thriller,Crime",46
Tristram Shandy: A Cock and Bull Story,27-Jan-06,Comedy,80
Take Me Home Tonight,04-Mar-11,"Drama,Comedy",42
The Apparition,24-Aug-12,"Thriller,Horror",18
Camp X-Ray,17-Oct-14,"Drama,War",54
V/H/S/2,12-Jul-13,"Thriller,Horror",49
Felon,18-Jul-08,"Drama,Crime",58
The Warrior's Way,03-Dec-10,"Action,Fantasy,Western",45
Pathfinder,13-Apr-07,"Action,Adventure,Drama,History,Thriller,War",29
Gotti,15-Jun-18,"Biography,Drama,Crime",24
Under the Same Moon (La misma luna),19-Mar-08,Drama,59
The Pelican Brief,17-Dec-93,"Drama,Mystery,Thriller,Romance,Crime",50
Exorcist: The Beginning,20-Aug-04,"Thriller,Horror",30
Pride and Glory,24-Oct-08,"Drama,Thriller,Crime",45
The Bronze,18-Mar-16,"Drama,Comedy",44
Rocky II,15-Jun-79,"Drama,Sport",61
Dylan Dog: Dead of Night,29-Apr-11,"Mystery,Thriller,Horror",31
Ask the Dust,10-Mar-06,"Drama,Romance",58
Anything Else,19-Sep-03,"Comedy,Romance",43
The Women,12-Sep-08,"Drama,Comedy",27
I Hope They Serve Beer in Hell,25-Sep-09,Comedy,26
The Karate Kid,22-Jun-84,"Action,Drama,Sport,Family",60
Pearl Jam Twenty,20-Sep-11,"Music,Documentary",59
Notorious,06-Sep-46,"Drama,Thriller,Romance,Film-Noir",100
Kazaam,17-Apr-96,"Fantasy,Comedy,Family,Musical",24
Selena,21-Mar-97,"Biography,Drama,Music",67
Bad 25,19-Oct-12,"Music,Documentary",65
Child's Play,09-Nov-88,"Thriller,Horror",58
MirrorMask,30-Sep-05,"Adventure,Drama,Fantasy,Family",55
Beverly Hills Cop II,20-May-87,"Action,Thriller,Comedy,Crime",48
Conspiracy Theory,08-Aug-97,"Mystery,Thriller,Romance,Crime",49
Breakthrough,17-Apr-19,"Biography,Drama",46
The Star,17-Nov-17,"Adventure,Fantasy,Comedy,Animation,Family",42
The Double,28-Oct-11,"Drama,Mystery,Thriller,Crime",37
Saints and Soldiers,15-Oct-04,"Action,Adventure,Drama,War",56
Cemetery of Splendor,04-Mar-16,Drama,87
Let the Sunshine In,27-Apr-18,"Drama,Comedy,Romance",79
Destination Wedding,31-Aug-18,"Drama,Comedy,Romance",46
Silkwood,14-Dec-83,"Biography,Drama,Thriller",64
Laws of Attraction,30-Apr-04,"Comedy,Romance",38
The Puffy Chair,02-Jun-06,"Drama,Comedy,Romance",73
Dragon Blade,04-Sep-15,"Action,Adventure,Drama",41
Footnote,09-Mar-12,Drama,82
The Cable Guy,14-Jun-96,"Drama,Thriller,Comedy",56
Please Stand By,26-Jan-18,"Drama,Comedy",49
The Perfect Host,01-Jul-11,Thriller,48
Dark Blue World,28-Dec-01,"Action,Drama,Romance,War",56
Hot Summer Nights,27-Jul-18,"Drama,Comedy,Romance,Crime",44
Trust the Man,18-Aug-06,"Drama,Comedy,Romance",43
The Pretty One,07-Feb-14,"Drama,Comedy",53
The Pirates Who Don't Do Anything: A VeggieTales Movie,11-Jan-08,"Adventure,Comedy,Animation,Family",49
Kickboxer: Vengeance,02-Sep-16,Action,37
The Only Living Boy in New York,11-Aug-17,Drama,33
The Farthest,11-Aug-17,"History,Documentary",87
"Police, Adjective",23-Dec-09,"Drama,Comedy,Crime",81
Brittany Runs A Marathon,23-Aug-19,"Drama,Comedy",74
Iluzija,17-Mar-06,Drama,61
Romance & Cigarettes,07-Sep-07,"Comedy,Romance,Musical",55
Girls Against Boys,01-Feb-13,"Drama,Thriller",17
Chasing Coral,14-Jul-17,Documentary,86
Vitus,29-Jun-07,"Drama,Music",63
Lonely Hearts,13-Apr-07,"Drama,Thriller,Romance,Crime",60
This Beautiful Fantastic,10-Mar-17,"Drama,Fantasy,Comedy,Romance",51
Where the Truth Lies,14-Oct-05,"Drama,Mystery,Thriller",47
Cherry Blossoms,16-Jan-09,"Drama,Romance",62
Resurrecting the Champ,24-Aug-07,"Drama,Sport",55
2010,07-Dec-84,"Adventure,Sci-Fi,Mystery,Thriller",53
Jenny's Wedding,31-Jul-15,"Drama,Comedy",33
Gozu,30-Jul-04,"Drama,Mystery,Thriller,Horror,Crime",58
The In-Laws,23-May-03,"Action,Thriller,Comedy",46
Synchronicity,22-Jan-16,"Sci-Fi,Mystery,Thriller",39
Zaytoun,20-Sep-13,"Adventure,Drama,Thriller,War",39
Supercross,17-Aug-05,"Action,Drama,Sport,Romance",26
Osama,06-Feb-04,"Drama,War",83
Your Friends & Neighbors,21-Aug-98,"Drama,Comedy",70
Same Kind of Different as Me,20-Oct-17,Drama,47
Jack Brooks: Monster Slayer,15-Aug-08,"Action,Horror,Comedy",46
Dead Man's Burden,03-May-13,"Drama,Western",76
HellBent,16-Sep-05,"Thriller,Horror",45
Rails & Ties,26-Oct-07,Drama,44
Needful Things,27-Aug-93,"Drama,Thriller,Fantasy,Horror,Crime",43
Conversations with God,27-Oct-06,"Adventure,Drama",35
An Invisible Sign,06-May-11,Drama,23
Occupation: Dreamland,23-Sep-05,"War,Documentary",66
Becks,09-Feb-18,"Drama,Romance,Musical",64
Cowboy del Amor,03-Feb-06,Documentary,57
The Texas Chainsaw Massacre 2,22-Aug-86,"Horror,Comedy",42
Carlito's Way,12-Nov-93,"Drama,Crime",65
Higher Learning,11-Jan-95,"Drama,Sport,Romance",54
The Lovers,13-Mar-15,"Action,Adventure,Sci-Fi,Romance",19
Games of Love and Chance,31-Aug-05,"Drama,Romance",71
Francofonia,01-Apr-16,"Drama,History,Documentary",71
Clifford's Really Big Movie,20-Feb-04,"Animation,Family",49
"Lula, the Son of Brazil",13-Jan-12,Drama,44
Irreplaceable You,16-Feb-18,"Drama,Comedy,Romance",34
Gregory Crewdson: Brief Encounters,02-Nov-12,"Biography,Drama,Documentary",87
Camille Claudel 1915,16-Oct-13,"Biography,Drama",65
Flowers,30-Oct-15,Drama,63
A/k/a Tommy Chong,14-Jun-06,Documentary,60
Descent,10-Aug-07,"Drama,Thriller",45
Permission,09-Feb-18,"Drama,Comedy,Romance",62
Finding Steve McQueen,15-Mar-19,"Romance,Crime",56
