movie_title,release_date,genre,metascore
"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",25-Mar-05,Documentary,62
Vajra Sky Over Tibet,08-Sep-06,Documentary,61
Haute Cuisine,20-Sep-13,"Biography,Comedy",61
Hideaway (Le refuge),10-Sep-10,Drama,61
XY Chelsea,10-May-19,Documentary,60
Alice Neel,20-Apr-07,Documentary,60
The Other Half,10-Mar-17,"Drama,Romance",60
Anything,11-May-18,"Drama,Romance",60
Bride Flight,10-Jun-11,Drama,60
Les amants criminels,21-Jul-00,"Drama,Thriller,Crime",59
Driven,16-Aug-19,"Biography,Drama,Thriller",58
Them That Follow,02-Aug-19,Thriller,58
Bat*21,21-Oct-88,"Drama,War",58
The Prey,07-Jun-13,"Action,Thriller,Crime",58
The Missing Person,20-Nov-09,"Drama,Mystery,Comedy",57
Color Me Kubrick,23-Mar-07,"Drama,Comedy",57
little man,28-Oct-05,Documentary,57
Viper Club,26-Oct-18,Drama,57
Cirkus Columbia,17-Feb-12,Drama,57
In the Name of My Daughter,08-May-15,Drama,57
Heaven's Gate,19-Nov-80,"Adventure,Drama,Western",57
The Yellow Birds,15-Jun-18,"Drama,War",56
The Monk,08-Mar-13,"Drama,Mystery,Thriller",56
Alex of Venice,17-Apr-15,Drama,56
After Midnight,03-Dec-04,"Comedy,Romance",56
Perlasca: The Courage of a Just Man,15-Apr-05,"Drama,History,War",56
The Human Surge,03-Mar-17,"Drama,Documentary",56
A Very Brady Sequel,23-Aug-96,Comedy,56
A Bag of Marbles,23-Mar-18,Drama,55
It's About You,04-Jan-12,"Biography,Music,Documentary",55
Gun Hill Road,05-Aug-11,Drama,55
SiREN,02-Dec-16,Horror,54
Cézanne et Moi,31-Mar-17,"Biography,Drama",54
Some Velvet Morning,13-Dec-13,Drama,54
Allure,16-Mar-18,"Drama,Thriller,Romance",54
CSNY/Déjà Vu,25-Jul-08,"Music,Documentary",54
In Satmar Custody,06-Apr-05,Documentary,53
Milarepa,07-Sep-07,"Action,Adventure,Biography,Drama",52
Who Do You Love,09-Apr-10,Drama,52
Three Days of Rain,30-Sep-05,Drama,52
Macbeth,15-Jun-07,"Drama,Thriller",51
In Our Nature,07-Dec-12,Drama,51
Trial by Fire,17-May-19,"Biography,Drama",51
Burn Your Maps,21-Jun-19,Adventure,50
Six Dance Lessons in Six Weeks,12-Dec-14,"Drama,Comedy",50
All My Loved Ones,14-Aug-02,"Drama,War,Music",50
Introducing the Dwights,04-Jul-07,"Drama,Comedy",50
The Price of Milk,16-Feb-01,"Drama,Fantasy,Comedy,Romance",49
They Remain,02-Mar-18,Thriller,49
Out of Blue,22-Mar-19,"Drama,Mystery,Crime",49
Adult Life Skills,18-Jan-19,"Drama,Comedy",49
Gerontophilia,01-May-15,"Comedy,Romance",48
Lucky Break,05-Apr-02,"Comedy,Romance,Crime",48
Virgin,03-Sep-04,Drama,48
To the Arctic,20-Apr-12,Documentary,48
October Gale,06-Mar-15,"Drama,Thriller,Romance",48
Cote d'Azur,09-Sep-05,"Comedy,Romance,Musical",47
Full Grown Men,25-Jun-08,"Drama,Comedy",47
1492: Conquest of Paradise,09-Oct-92,"Adventure,Biography,Drama,History",47
The Architect,01-Dec-06,Drama,47
Nostalgia,16-Feb-18,Drama,47
The Tenants,03-Feb-06,Drama,46
3 Dancing Slaves,02-Sep-05,Drama,46
White on Rice,11-Sep-09,Comedy,45
Rosencrantz and Guildenstern Are Undead,04-Jun-10,Comedy,45
Where Hands Touch,14-Sep-18,"Drama,Romance,War",44
Dough,29-Apr-16,"Drama,Comedy",44
The Closer You Get,25-Feb-00,Comedy,44
The Young Unknowns,11-Apr-03,Drama,43
Breaking the Girls,26-Jul-13,"Thriller,Crime",42
Midnight Eagle,23-Nov-07,Action,42
Killerman,30-Aug-19,"Action,Drama,Mystery,Thriller,Crime",42
The Toxic Avenger,11-Apr-86,"Action,Sci-Fi,Horror,Comedy",42
White Rabbit,13-Feb-15,Drama,41
A Dark Place,12-Apr-19,"Mystery,Thriller",41
Sal,01-Nov-13,"Biography,Drama",41
Being Frank,14-Jun-19,Comedy,41
Sarah Palin: You Betcha!,30-Sep-11,Documentary,41
Hate Crime,16-Mar-06,"Drama,Mystery,Thriller,Crime",41
Never Been Thawed,07-Oct-05,Comedy,41
The Forgiven,09-Mar-18,Thriller,41
Ceremony,08-Apr-11,Comedy,40
Nightbreed,16-Feb-90,"Action,Fantasy,Horror",40
From the Land of the Moon,28-Jul-17,"Drama,Romance",40
Twist,21-May-04,Drama,39
Confusion of Genders,04-Jul-03,"Drama,Comedy,Romance",39
Psychopaths,01-Dec-17,Horror,37
Stardom,27-Oct-00,"Drama,Comedy",36
Swing,18-Jun-04,"Fantasy,Comedy,Romance",36
Action Jackson,12-Feb-88,"Action,Thriller,Comedy,Crime",36
Circuit,26-Apr-02,Drama,36
We'll Never Have Paris,22-Jan-15,"Comedy,Romance",36
Being Human,06-May-94,"Drama,Fantasy,Comedy",33
Amnesiac,14-Aug-15,"Drama,Mystery,Thriller,Horror",33
The Christmas Candle,22-Nov-13,Drama,33
The 11th Hour,12-Jun-15,"Drama,Thriller",32
6 Month Rule,01-Jun-12,Comedy,31
The Presidio,10-Jun-88,"Action,Mystery,Thriller,Crime",31
Chander Pahar (Mountains Of The Moon),10-Jan-14,Adventure,29
"Literally, Right Before Aaron",29-Sep-17,"Drama,Comedy",28
Chloe and Theo,04-Sep-15,"Drama,Comedy",24
30 Beats,20-Jul-12,"Comedy,Romance",20
Nashville,11-Jun-75,"Drama,Comedy,Music",96
Stagecoach,03-Mar-39,"Adventure,Drama,Western",93
An American in Paris,11-Nov-51,"Drama,Romance,Musical",84
Carmine Street Guitars,24-Apr-19,Documentary,82
Cousin Jules,27-Nov-13,Documentary,81
Living in Oblivion,21-Jul-95,"Drama,Comedy",81
Midnight Traveler,18-Sep-19,"War,Documentary",80
All Is Well,06-Jun-19,Drama,80
Quest for Fire,12-Feb-82,"Adventure,Drama,History",79
Hotel by the River,15-Feb-19,Drama,79
